nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
101214,1381004,Unnamed tarn Tarndale Brook,43,7/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndale Brook,Lake,Unknown,,621.595,Clarence R,1595235,5336083,-42.127345,172.942349,13057273,1040,220,n,u,u,,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,4,,,,,,Galaxias brevipinnis,Koaro,,4,FALSE,FALSE,,90,122,,V1
101214,1381004,Unnamed tarn Tarndale Brook,43,7/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndale Brook,Lake,Unknown,,621.595,Clarence R,1595235,5336083,-42.127345,172.942349,13057273,1040,220,n,u,u,,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,4,,,,,,Gobiomorphus alpinus,Tarndale bully,,7,FALSE,FALSE,,58,67,,V1
101215,1381004,Unnamed tarn Tarndale Brook,44,7/03/2012,night,Department of Conservation Nelson Marlborough,,Tarndale Brook,Lake,Unknown,,621.595,Clarence R,1595428,5335834,-42.129589,172.944682,13057273,1040,220,n,u,u,Water beetle Rhantus was common,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,4,,,,,,Gobiomorphus alpinus,Tarndale bully,,5,FALSE,FALSE,,48,60,,V1
101215,1381004,Unnamed tarn Tarndale Brook,44,7/03/2012,night,Department of Conservation Nelson Marlborough,,Tarndale Brook,Lake,Unknown,,621.595,Clarence R,1595428,5335834,-42.129589,172.944682,13057273,1040,220,n,u,u,Water beetle Rhantus was common,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,4,,,,,,Galaxias brevipinnis,Koaro,,20,FALSE,FALSE,,38,122,,V1
101216,1381005,Unnamed tarn,45,8/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndae Brook,Lake,Unknown,,621.595,Clarence R,1595471,5336463,-42.123924,172.945207,,1040,220,n,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,10,,,,,,Galaxias brevipinnis,Koaro,larger ones not healthy with lumps and lesions,185,FALSE,FALSE,,53,127,,V1
101216,1381005,Unnamed tarn,45,8/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndae Brook,Lake,Unknown,,621.595,Clarence R,1595471,5336463,-42.123924,172.945207,,1040,220,n,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,10,,,,,,Gobiomorphus alpinus,Tarndale bully,A further 41 dead in traps,293,FALSE,FALSE,,30,65,,V1
101217,1381005,Unnamed tarn,46,8/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndale Brook,Lake,Unknown,,621.595,Clarence R,1595468,5336491,-42.123672,172.945171,,1040,160,n,u,u,,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,2,,,,,,Galaxias brevipinnis,Koaro,1inflamed with red around gills another had raised lesions near pelvic fins,6,FALSE,FALSE,,90,117,,V1
101217,1381005,Unnamed tarn,46,8/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndale Brook,Lake,Unknown,,621.595,Clarence R,1595468,5336491,-42.123672,172.945171,,1040,160,n,u,u,,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,2,,,,,,Gobiomorphus alpinus,Tarndale bully,,2,FALSE,FALSE,,60,68,,V1
101218,1381003,Bowscale Tarn,47,8/03/2012,night,Department of Conservation Nelson Marlborough,,Bowscale Tarn,Lake,Unknown,,621.595,Clarence R,1595968,5335899,-42.129007,172.951216,13057273,1040,220,n,u,u,Fykes set on southern and western shore,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,6,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V1
101219,1381003,Bowscale Tarn,48,8/03/2012,night,Department of Conservation Nelson Marlborough,,Bowscale Tarn,Lake,Unknown,,621.595,Clarence R,1595951,5335937,-42.128664,172.951011,13057273,1040,220,n,u,u,3 transects 2 on Southern shore and 1 on western,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,31,,,,,,Gobiomorphus alpinus,Tarndale bully,,450,FALSE,FALSE,,30,69,,V1
101220,1381002,Island Lake,49,9/03/2012,night,Department of Conservation Nelson Marlborough,,Island Lake,Lake,Unknown,,621.595,Clarence R,1594810,5333068,-42.154497,172.93718,13058430,1000,227,n,u,u,2 transects 1 from SW shore and 1 from island. 2 at outlet,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,22,,,,,,Gobiomorphus alpinus,Tarndale bully,,2,FALSE,FALSE,,53,57,,V1
101221,1381002,Island Lake,50,9/03/2012,night,Department of Conservation Nelson Marlborough,,Island Lake,Lake,Unknown,,621.595,Clarence R,1594745,5332863,-42.156343,172.936391,13058866,1000,226,n,u,u,,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,6,,,,,,Anguilla dieffenbachii,Longfin eel,,1,FALSE,FALSE,,850,,,V1
101228,1381004,Unnamed tarn Tarndale Brook,57,7/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndale Brook,Lake,Perennial,,621.595,Clarence R,1595205,5336074,-42.127426,172.941986,13057273,1040,220,n,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,9,,,,,,Galaxias brevipinnis,Koaro,,9,FALSE,FALSE,,38,100,,V1
101228,1381004,Unnamed tarn Tarndale Brook,57,7/03/2012,night,Department of Conservation Nelson Marlborough,,Unnamed lake Tarndale Brook,Lake,Perennial,,621.595,Clarence R,1595205,5336074,-42.127426,172.941986,13057273,1040,220,n,u,u,,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,9,,,,,,Gobiomorphus alpinus,Tarndale bully,,668,FALSE,FALSE,,39,71,,V1
