nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
29497,1181081,Winton Stream,,13/02/2008,8:44,Southland Regional Council,,Winton Stream,Not Entered,Perennial,,786.33,Oreti R,1237600,4873044,-46.199576,168.302649,15307710,35,43,n,u,n,,30,6,,,Low,Colourless,,,,,,,,,"Pool:10, Run:50, Riffle:40","Sand (1-2 mm):15, Fine gravel:70, Coarse gravel:15","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Scrub:60, Grass/tussock:40",Electric fishing - combination of nets and electric fishing,Unknown,,,,,,,,,,,,,,Gobiomorphus,Unidentified bully,,1,FALSE,FALSE,,65,,,V1
29497,1181081,Winton Stream,,13/02/2008,8:44,Southland Regional Council,,Winton Stream,Not Entered,Perennial,,786.33,Oreti R,1237600,4873044,-46.199576,168.302649,15307710,35,43,n,u,n,,30,6,,,Low,Colourless,,,,,,,,,"Pool:10, Run:50, Riffle:40","Sand (1-2 mm):15, Fine gravel:70, Coarse gravel:15","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Scrub:60, Grass/tussock:40",Electric fishing - combination of nets and electric fishing,Unknown,,,,,,,,,,,,,,Anguilla australis,Shortfin eel,,1,FALSE,FALSE,,140,,,V1
29879,1181186,Moffat Creek,,9/04/2008,10:45,Department of Conservation Southland,,Moffat Creek,Not Entered,Perennial,,776.02,Waituna Lgn,1262908,4838752,-46.520288,168.605024,15318670,15,11,n,u,n,,,2.1,,0.7,Medium,Tea coloured or brown,,,11.8,0.2,,,,,"Still:20, Run:80","Mud:80, Coarse gravel:20","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Raupo/flax:20, Grass/tussock:80",Traps - Gee minnow,Unknown,,,,,,,,4,,,,,,Gobiomorphus cotidianus,Common bully,,1,FALSE,FALSE,,49,,,V1
29879,1181186,Moffat Creek,,9/04/2008,10:45,Department of Conservation Southland,,Moffat Creek,Not Entered,Perennial,,776.02,Waituna Lgn,1262908,4838752,-46.520288,168.605024,15318670,15,11,n,u,n,,,2.1,,0.7,Medium,Tea coloured or brown,,,11.8,0.2,,,,,"Still:20, Run:80","Mud:80, Coarse gravel:20","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Raupo/flax:20, Grass/tussock:80",Traps - Gee minnow,Unknown,,,,,,,,4,,,,,,Galaxias argenteus,Giant kokopu,,11,FALSE,FALSE,,50,60,,V1
29881,1181188,Waituna Creek tributary 1,,9/04/2008,10:15,Department of Conservation Southland,,Waituna Creek tributary,Not Entered,Perennial,,776.01,Waituna Lgn,1260606,4840726,-46.50142,168.576542,15318504,5,14.4,n,u,n,,,2.7,,0.5,Medium,Tea coloured or brown,,,11.1,0.23,,,,,"Still:90, Run:10","Mud:50, Coarse gravel:50","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:y","Raupo/flax:50, Grass/tussock:50",Other net - combination of nets and traps,Unknown,,,,,,,,5,,,,,,Gobiomorphus cotidianus,Common bully,,7,FALSE,FALSE,,50,95,,V1
29881,1181188,Waituna Creek tributary 1,,9/04/2008,10:15,Department of Conservation Southland,,Waituna Creek tributary,Not Entered,Perennial,,776.01,Waituna Lgn,1260606,4840726,-46.50142,168.576542,15318504,5,14.4,n,u,n,,,2.7,,0.5,Medium,Tea coloured or brown,,,11.1,0.23,,,,,"Still:90, Run:10","Mud:50, Coarse gravel:50","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:y","Raupo/flax:50, Grass/tussock:50",Other net - combination of nets and traps,Unknown,,,,,,,,5,,,,,,Galaxias argenteus,Giant kokopu,,2,FALSE,FALSE,,50,50,,V1
30198,1181035,Oteramika Stream,,25/03/2009,11:10,Southland Regional Council,,Oteramika Creek,Not Entered,Perennial,,775.08,Mataura R,1274065,4854679,-46.382837,168.761199,15314528,20,31.8,n,u,u,,30,1.5,,0.3,Unknown,Colourless,,,,,,,,,"Run:70, Riffle:30",Fine gravel:100,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,3,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,3,FALSE,FALSE,,210,500,,V1
30198,1181035,Oteramika Stream,,25/03/2009,11:10,Southland Regional Council,,Oteramika Creek,Not Entered,Perennial,,775.08,Mataura R,1274065,4854679,-46.382837,168.761199,15314528,20,31.8,n,u,u,,30,1.5,,0.3,Unknown,Colourless,,,,,,,,,"Run:70, Riffle:30",Fine gravel:100,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,3,,,,,,,,,,,,,Gobiomorphus,Unidentified bully,,2,FALSE,FALSE,,30,55,,V1
30198,1181035,Oteramika Stream,,25/03/2009,11:10,Southland Regional Council,,Oteramika Creek,Not Entered,Perennial,,775.08,Mataura R,1274065,4854679,-46.382837,168.761199,15314528,20,31.8,n,u,u,,30,1.5,,0.3,Unknown,Colourless,,,,,,,,,"Run:70, Riffle:30",Fine gravel:100,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,3,,,,,,,,,,,,,Anguilla australis,Shortfin eel,,2,FALSE,FALSE,,135,180,,V1
30198,1181035,Oteramika Stream,,25/03/2009,11:10,Southland Regional Council,,Oteramika Creek,Not Entered,Perennial,,775.08,Mataura R,1274065,4854679,-46.382837,168.761199,15314528,20,31.8,n,u,u,,30,1.5,,0.3,Unknown,Colourless,,,,,,,,,"Run:70, Riffle:30",Fine gravel:100,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,3,,,,,,,,,,,,,Salmo trutta,Brown trout,,2,FALSE,FALSE,,115,145,,V1
