"card","Month","Year","catchmentName","fragmentNumber","fragmentName","Catch No","m","y","catchname","catch","locality","time","org","map","east","north","altitude","penet","fishmeth","effort","pass","spcode","abund","number","minl","maxl","nzreach","abundnumber","aldfor","ameneb","angaus","angdie","angrei","anguil","caraur","chefos","cteide","cypcar","echauc","echone","galano","galarg","galaxi","galbre","galcob","galdep","galdiv","galeld","galfas","galgol","galgra","galmac","galmar","galpau","galpos","galpro","galpul","galspd","galspn","galspp","galsps","galspt","galvul","gamaff","geoaus","gobalp","gobbas","gobbre","gobcot","gobgob","gobhub","gobhut","gobiom","graham","hypmol","hyrmen","leuidu","marine","mugcep","mugil","neoapo","neobur","neodiv","neohel","neorek","nospec","oncmyk","oncner","onctsh","parane","parcur","parmar","perflu","poelat","poeret","prooxy","retret","rholep","rhombo","rhoret","salfon","salmo","salsal","saltru","scaery","stoani","tintin"
"6641","10","1984","Pareora River","1491105","Taiko Stream (Translocation)","701.04","10","1984","Pareora R","701.040","Unnamed pond","1100","niwa","j38","2353100","5651300","160","32","fyn","","","neobur","c","","","","0","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","",""
"6641","10","1984","Pareora River","1491105","Taiko Stream (Translocation)","701.04","10","1984","Pareora R","701.040","Unnamed pond","1100","niwa","j38","2353100","5651300","160","32","fyn","","","gobbre","o","","","","0","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6643","10","1984","Selwyn River","1491032","Selwyn River tributary 2","680","10","1984","Selwyn R","680.000","Selwyn River ponds","","niwa","m36","2451200","5727100","50","38","han","","","neobur","","","","","13050383","present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","present","","","","","","","","","","","","","","","","","","","","","","","","",""
"7658","4","1984","Selwyn River","1491033","Selwyn River tributary 3","680","4","1984","Selwyn R","680.000","Selwyn River tributary","1600","indm","l36","2438900","5732200","110","54","obs","","","neobur","","2","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"7745","4","1986","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","4","1986","Waimakariri R","664.050","Peacock Springs","1400","niwa","m35","2470800","5749100","40","22","efm","","1","oncmyk","","14","","","13044260","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","",""
"7745","4","1986","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","4","1986","Waimakariri R","664.050","Peacock Springs","1400","niwa","m35","2470800","5749100","40","22","efm","","1","angdie","","1","","","13044260","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7749","5","1986","Avon River","1491028","Christchurch Botanical Gardens (Translocation)","666","5","1986","Avon R","666.000","Unnamed pond","night","niwa","m35","2479400","5741900","5","17","gmt","360","","gobbre","","16","","","0","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7749","5","1986","Avon River","1491028","Christchurch Botanical Gardens (Translocation)","666","5","1986","Avon R","666.000","Unnamed pond","night","niwa","m35","2479400","5741900","5","17","gmt","360","","neobur","","1","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"9981","7","1988","Selwyn River","1491036","Hororata River tributary 2","680.04","7","1988","Selwyn R","680.040","Hororata River oxbow","","niwa","l36","2432100","5735300","140","65","ntc","","","gobbre","o","","","","0","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9981","7","1988","Selwyn River","1491036","Hororata River tributary 2","680.04","7","1988","Selwyn R","680.040","Hororata River oxbow","","niwa","l36","2432100","5735300","140","65","ntc","","","angaus","","1","","","0","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9981","7","1988","Selwyn River","1491036","Hororata River tributary 2","680.04","7","1988","Selwyn R","680.040","Hororata River oxbow","","niwa","l36","2432100","5735300","140","65","ntc","","","neobur","o","22","","","0","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","",""
"9982","7","1988","Waimakariri River","1491026","Mounseys Stream tributary 13","664.063","7","1988","Waimakariri R","664.063","Mounseys Stream tributary","","niwa","l35","2435000","5768300","310","65","efp","","0","neobur","c","53","","","13038152","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","","","","","","","","","","","","","","","","","","","","","","","","",""
"9982","7","1988","Waimakariri River","1491026","Mounseys Stream tributary 13","664.063","7","1988","Waimakariri R","664.063","Mounseys Stream tributary","","niwa","l35","2435000","5768300","310","65","efp","","0","gobbre","a","","","","13038152","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9994","4","1989","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","4","1989","Waimakariri R","664.050","Peacock Springs","night","niwa","m35","2470700","5749100","40","22","nfc","1000","","neobur","","60","77","142","13044260","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","","","","",""
"9997","11","1989","Selwyn River","1491060","Glendore Stream","680.08","11","1989","Selwyn R","680.080","Unnamed wetland","1000","niwa","l35","2417800","5749900","320","89","efp","","0","neobur","","12","","","0","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","",""
"9998","11","1989","Selwyn River","1491060","Glendore Stream","680.08","11","1989","Selwyn R","680.080","Unnamed wetland","1400","niwa","l35","2417600","5750400","330","89","efp","","1","gobbre","r","","","","0","rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10277","9","1989","Pareora River","1491105","Taiko Stream (Translocation)","701.04","9","1989","Pareora R","701.040","Taiko Stream","1020","docc","j38","2352800","5651300","160","32","han","18","","neobur","r","4","52","123","13065502","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"10278","7","1990","St Andrews","1491106","Unnamed stream St Andrews","702","7","1990","St Andrews","702.000","Unnamed stream St Andrews","0845","docc","j39","2366600","5630800","5","1","gmt","1","","neobur","","24","65","123","13067019","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","",""
"10279","7","1990","St Andrews","1491106","Unnamed stream St Andrews","702","7","1990","St Andrews","702.000","Unnamed stream St Andrews","0930","docc","j39","2366500","5631100","5","1","gmt","1","","neobur","","7","112","120","13067009","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","",""
